Loc,FBM1_095,FBM2_095,FBM3_095,FBM4_095,FTM1_095,FTM2_095,FTM3_093,FTM4_078,FTM5_095,FTM6_095,KBL1_096,KBL2_097,KBL4_096,KBL5_096,KOL1_062,KTE1_096,KTE2_096,KTE3_096,KTE4_066,KTE5_096,KTE6_096,KTE7_096,KTE8_096,KTE9_064,KTL1_095,KTL2_095,RBL1_095,RBL2_095,RBL3_095,RBL4_095,RTE1_095,RTE2_095,RUL1_096
One_U301_92,0.4139,0.1233,0.5901,1.0000,1.0000,0.6064,0.3167,0.1375,0.2635,0.3482,0.1676,0.5104,0.2676,0.3437,1.0000,0.1625,0.3322,0.0411,0.0070,1.0000,0.7304,0.0504,0.3623,0.4854,0.2195,0.3655,1.0000,0.6575,1.0000,1.0000,0.0322,1.0000,1.0000
One_U401_224,0.7543,0.7749,1.0000,1.0000,1.0000,0.2833,0.3067,0.2178,1.0000,0.6145,0.1727,1.0000,0.7729,1.0000,1.0000,0.8015,0.6470,0.3147,1.0000,0.7977,0.0648,0.6367,0.3637,1.0000,0.7885,1.0000,0.8113,0.6051,0.0127,1.0000,1.0000,0.5482,0.5020
One_U404_229,1.0000,1.0000,1.0000,1.0000,0.0789,1.0000,1.0000,1.0000,1.0000,1.0000,0.2186,1.0000,1.0000,0.1800,0.2352,0.3340,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1886,0.2640,1.0000,0.3122
One_U502_167,1.0000,-,-,-,-,-,1.0000,-,1.0000,-,1.0000,1.0000,-,-,-,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,-,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,-,1.0000,0.1437
One_U503_170,0.2027,1.0000,0.2723,0.0816,1.0000,1.0000,0.7000,1.0000,0.4509,0.7093,0.3921,0.7453,1.0000,0.2882,1.0000,0.4277,1.0000,0.6807,1.0000,0.3151,0.6390,0.6839,1.0000,0.5792,1.0000,1.0000,0.0547,1.0000,0.1080,0.6883,1.0000,0.5017,0.2388
One_U504_141,0.1088,0.3299,0.4903,0.7855,0.7956,0.7941,0.4223,1.0000,0.0391,0.0473,0.3444,0.2579,0.6178,1.0000,1.0000,0.4629,0.3468,0.1363,0.5250,0.1059,0.4643,0.6260,0.6628,0.5095,0.4178,0.6112,0.0933,1.0000,0.6505,0.8151,0.1581,0.7963,0.2372
One_vamp5_255,0.4694,0.0815,0.2719,0.8057,0.7841,0.3801,0.8014,0.2762,0.3637,0.7902,1.0000,1.0000,0.8046,0.8170,0.5985,0.7717,0.8121,0.0512,0.0524,0.8106,0.6470,0.4533,0.3245,0.0464,0.4288,0.2429,0.8059,0.2701,0.7872,0.6236,0.0694,0.8290,0.0364
One_vatf_214,1.0000,1.0000,0.3811,0.4021,1.0000,0.2281,0.2235,0.0719,0.6008,0.7566,0.7197,1.0000,0.6840,0.0959,1.0000,0.1365,0.7284,0.2993,1.0000,0.4630,0.2070,0.4456,0.2267,1.0000,1.0000,1.0000,1.0000,0.7735,0.0421,0.7881,0.0315,0.3921,1.0000
One_VIM_569,1.0000,0.6209,0.1858,0.2225,1.0000,1.0000,0.5698,0.0606,1.0000,1.0000,0.2613,0.2893,0.5114,0.3469,0.0715,0.5027,0.5910,0.0005,1.0000,0.2865,0.4277,1.0000,1.0000,1.0000,0.4875,0.7566,1.0000,0.6839,1.0000,0.2207,0.2229,0.3196,0.1782
One_ZNF_61,0.8255,0.5084,1.0000,1.0000,0.3929,0.5265,1.0000,0.0411,0.8352,1.0000,0.0364,0.8334,0.3960,0.5141,0.7809,0.0212,0.1530,0.0212,1.0000,0.2402,1.0000,1.0000,0.6470,0.5966,0.5300,0.6766,0.2953,0.5359,0.1336,0.6622,0.4146,0.5281,0.6787
One_zP3b,1.0000,1.0000,-,1.0000,1.0000,1.0000,-,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5620,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,-,-,1.0000
One_Omy77v4,0.4026,0.6926,0.5400,0.7321,0.3634,0.6762,0.0938,0.7973,0.2428,0.1033,0.5460,0.1165,0.0676,0.7631,0.9427,0.3657,0.0157,0.7205,0.2753,0.5499,0.8364,0.7016,0.6664,0.6214,0.6177,0.0660,0.9816,0.2079,0.5763,0.7287,0.3301,0.7560,0.5285
One_One100,0.8693,0.7392,0.3095,0.1393,0.4331,0.0348,0.0825,0.8089,0.3833,0.3809,0.3511,0.4995,0.0680,0.7743,0.4769,0.4580,0.4495,0.2695,0.0801,0.7416,0.7952,0.0685,0.3641,0.7570,0.3056,0.5261,0.3804,0.5279,0.2664,0.8579,0.3191,0.7254,0.8735
One_One102v4,0.0404,0.1629,0.5497,0.5188,0.7300,0.9449,0.7825,0.3650,0.4066,0.6200,0.1940,0.7786,0.0368,0.0311,0.5457,0.6604,0.2397,0.1417,0.7641,0.0169,0.2230,0.0122,0.6191,0.0226,0.6063,0.3111,0.6864,0.1294,0.4922,0.5168,0.8721,0.9210,0.4701
One_One103PT,0.2203,0.3145,0.3727,0.0559,0.2942,0.9742,0.4523,0.8477,0.6998,0.2972,0.0485,0.0854,0.6911,0.5132,0.3836,0.5226,0.0368,0.2461,0.1261,0.0131,0.8929,0.8470,0.2821,0.0086,0.4022,0.1511,0.0705,0.4606,0.3510,0.0569,0.0516,0.4192,0.2315
One_One105,0.2379,0.5544,0.0602,0.1474,0.1025,0.6617,0.7846,0.3609,0.5466,0.4554,0.6518,0.0885,0.8965,0.2604,0.4709,0.7114,0.0422,0.5004,0.9851,0.1761,0.0933,0.1876,0.7292,0.0280,0.4571,0.3773,0.7543,0.7950,0.2779,0.9231,0.9738,0.5846,0.8599
One_One108v4,0.4979,0.4802,0.2746,0.5320,0.6884,0.9712,0.9872,0.4982,0.7215,0.8644,0.2580,0.0790,0.3032,0.1419,0.9941,0.5181,0.0041,0.6502,0.3169,0.3556,0.6655,0.2337,0.1024,0.0151,0.6781,0.5957,0.1275,0.3607,0.5155,0.7445,0.0192,0.2568,0.6527
One_One110v4,0.6940,0.8753,0.8444,0.0087,0.0241,0.7599,0.7200,0.7416,0.8242,0.6184,0.8959,0.2037,0.4439,0.9010,0.3156,0.0108,0.2605,0.5456,0.0068,0.1990,0.5356,0.1028,0.5904,0.9599,0.5505,0.1901,0.8157,0.0380,0.9297,0.8589,0.6775,0.0088,0.5619
One_One111v4,0.4947,0.1202,0.0367,0.5536,0.7550,0.8859,0.2665,0.4363,0.7940,0.2375,0.5497,0.1213,0.3455,0.0266,0.6849,0.0958,0.3144,0.9395,0.1493,0.0000,0.5479,0.0029,0.8193,0.0656,0.7198,0.2548,0.0449,0.0316,0.9493,0.2338,0.3995,0.7256,0.8986
One_One114v4,0.7410,0.3640,0.3676,0.0444,0.3642,0.4374,0.4611,0.8475,0.3872,0.9301,0.8294,0.3321,0.3756,0.9644,0.6886,0.0549,0.1305,0.6660,0.3160,0.2607,0.8358,0.5866,0.0436,0.8285,0.4764,0.1884,0.7888,0.2432,0.2600,0.4517,0.2757,0.5992,0.6593
One_One115,0.4618,0.7628,0.2962,0.5210,0.2680,0.8491,0.4978,0.7571,0.9343,0.6200,0.2879,0.4056,0.3639,0.8466,0.8766,0.7361,0.8840,0.4985,0.2087,0.2241,0.6491,0.1237,0.5359,0.4879,0.1611,0.7741,0.6938,0.2171,0.2492,0.0145,0.6029,0.9070,0.2350
One_Ots103v4,0.1891,0.6010,0.1723,0.4338,0.8912,0.3072,0.4377,0.5166,0.6979,0.5167,0.0161,0.6393,0.1070,0.3082,0.9446,0.3189,0.0578,0.9040,0.4655,0.1290,0.3149,0.2926,0.6066,0.9859,0.6417,0.8679,0.3482,0.5039,0.7952,0.9098,0.5611,0.6945,0.7814
One_Ots107v4,0.9348,0.6053,0.6838,0.3830,0.7881,0.9325,0.0836,0.4417,0.2723,0.7767,0.1308,0.2233,0.2483,0.8903,0.0083,0.5216,0.2064,0.9633,0.0865,0.5225,0.8168,0.3591,0.5695,0.7716,0.8857,0.5313,0.2503,0.7519,0.0453,0.9344,0.7787,0.0371,0.6321
One_uSat60v4,0.9770,0.2557,0.5854,0.5621,0.3873,0.6028,0.8609,0.3924,0.8643,0.7615,0.6604,0.8187,0.0009,0.7667,0.7905,0.3843,0.0730,0.6207,0.0538,0.0925,0.4621,0.6196,0.5894,0.6459,0.3709,0.3341,0.5869,0.2458,0.7112,0.8770,0.0300,0.2201,0.6406
