Ind,Pop,One_ACBP_79,One_agt_132,One_aldB_152,One_apoe_83,One_c3_98,One_CD9_269,One_cetn1_167,One_CFP1,One_cin_177,One_CO1,One_ctgf_301,One_Cytb_17,One_Cytb_26,One_E2,One_gdh_212,One_GHII_2461,One_ghsR_66,One_GPDH,One_GPDH2,One_GPH_414,One_hcs71_220,One_HGFA,One_HpaI_436,One_HpaI_99,One_Hsp47,One_IL8r_362,One_KCT1_453,One_KPNA_422,One_LEI_87,One_lpp1_44,One_metA_253,One_MHC2_190,One_MHC2_251,One_Mkpro_129,One_ODC1_196,One_Ots208_234,One_Ots213_181,One_p53_576,One_pax7_248,One_PIP,One_Prl2,One_rab1a_76,One_RAG1_103,One_RAG3_93,One_redd1_414,One_RF_112,One_RF_295,One_rpo2j_261,One_sast_211,One_spf30_207,One_srp09_127,One_ssrd_135,One_STC_410,One_STR07,One_SUMO1_6,One_sys1_230,One_taf12_248,One_Tf_ex10_750,One_Tf_ex3_182,One_tshB_92,One_txnip_401,One_U1003_75,One_U1004_183,One_U1009_91,One_U1010_81,One_U1012_68,One_U1013_108,One_U1014_74,One_U1016_115,One_U1024_197,One_U1101,One_U1103,One_U1105,One_U1201_492,One_U1202_1052,One_U1203_175,One_U1204_53,One_U1205_57,One_U1206_108,One_U1208_67,One_U1209_111,One_U1210_173,One_U1212_106,One_U1214_107,One_U1216_230,One_U301_92,One_U401_224,One_U404_229,One_U502_167,One_U503_170,One_U504_141,One_vamp5_255,One_vatf_214,One_VIM_569,One_ZNF_61,One_zP3b,One_Omy77v4,One_One100,One_One102v4,One_One103PT,One_One105,One_One108v4,One_One110v4,One_One111v4,One_One114v4,One_One115,One_Ots103v4,One_Ots107v4,One_uSat60v4
KTE3_054,KTE3,001/002,002/002,001/001,002/002,002/002,000/000,001/002,001/001,001/001,001/001,001/001,002/002,002/002,001/002,001/002,002/002,001/002,000/000,002/002,000/000,002/002,001/001,001/002,002/002,002/002,001/001,002/002,001/001,001/001,002/002,001/001,002/002,001/002,001/001,001/001,001/002,001/002,002/002,002/002,000/000,002/002,001/001,002/002,001/001,001/002,001/001,001/001,002/002,001/001,001/001,002/002,001/002,002/002,001/001,002/002,001/001,001/001,001/002,001/001,001/002,001/001,002/002,001/001,001/001,002/002,001/001,000/000,002/002,001/002,002/002,001/001,002/002,001/002,001/002,001/002,001/001,001/002,002/002,001/001,001/001,002/002,002/002,002/002,002/002,001/001,002/002,000/000,001/001,001/001,001/002,002/002,001/002,000/000,002/002,001/001,002/002,003/003,030/033,004/009,008/034,002/002,005/013,010/029,005/006,011/019,012/013,007/009,004/008,003/008
KTE3_055,KTE3,001/002,001/002,001/001,001/002,002/002,001/001,001/001,001/002,002/002,001/001,001/001,002/002,002/002,001/001,002/002,002/002,001/002,001/001,002/002,001/002,002/002,001/001,001/001,001/001,001/002,001/001,001/002,001/001,001/002,001/001,001/001,002/002,001/002,001/002,001/002,002/002,001/002,002/002,002/002,002/002,001/001,001/001,002/002,001/001,001/002,001/001,001/001,001/001,001/001,001/001,002/002,001/002,001/001,001/002,001/002,001/001,001/001,002/002,001/002,001/001,001/001,001/002,002/002,002/002,002/002,001/002,002/002,001/002,001/002,002/002,001/001,002/002,001/002,001/001,001/002,001/002,002/002,002/002,001/001,001/001,002/002,002/002,001/002,002/002,001/001,002/002,001/002,001/001,001/001,002/002,001/002,001/001,002/002,002/002,001/001,002/002,001/001,030/032,004/014,030/045,004/004,010/018,016/025,014/017,014/016,005/013,004/017,004/005,003/003
KTE3_056,KTE3,001/002,001/001,001/001,000/000,002/002,001/001,001/001,001/001,002/002,001/001,001/001,002/002,002/002,001/001,001/002,002/002,001/001,001/002,002/002,002/002,002/002,001/002,001/001,002/002,001/001,001/001,002/002,002/002,001/001,001/002,001/001,002/002,002/002,001/002,001/002,001/002,000/000,002/002,001/002,001/001,001/001,001/002,002/002,001/001,002/002,001/002,001/001,001/002,001/001,001/001,002/002,000/000,002/002,001/002,001/002,001/001,001/001,000/000,001/001,001/001,001/001,001/002,000/000,002/002,001/002,000/000,002/002,001/002,001/002,002/002,001/001,002/002,002/002,000/000,001/001,001/001,001/001,001/002,001/002,001/001,002/002,002/002,001/002,002/002,001/001,002/002,001/001,001/001,001/001,002/002,002/002,001/001,001/002,001/001,002/002,002/002,001/003,026/029,010/013,030/030,002/004,005/013,009/020,004/028,011/018,010/011,011/014,004/004,008/008
KTE3_057,KTE3,001/002,001/002,001/002,002/002,002/002,001/002,001/001,001/001,001/002,001/001,001/001,002/002,002/002,001/001,001/002,001/002,001/001,001/002,002/002,001/002,002/002,001/001,002/002,001/002,002/002,001/002,002/002,001/002,001/001,001/001,001/001,001/001,002/002,001/002,001/002,002/002,002/002,002/002,002/002,001/001,001/002,001/001,001/002,001/001,001/002,001/001,001/001,001/001,001/001,001/001,002/002,001/001,001/002,002/002,002/002,001/002,001/001,002/002,001/001,001/001,001/001,002/002,001/002,001/002,002/002,001/001,002/002,002/002,002/002,002/002,001/002,002/002,002/002,001/001,002/002,001/002,001/001,002/002,001/001,001/002,001/002,002/002,001/001,002/002,001/001,002/002,001/002,001/001,001/001,002/002,002/002,002/002,002/002,002/002,002/002,002/002,003/003,030/034,004/012,034/046,002/002,009/013,021/023,006/027,014/015,010/013,013/014,004/004,003/003
KTE3_058,KTE3,001/002,001/001,001/001,002/002,002/002,001/001,001/002,001/001,002/002,001/001,001/001,002/002,002/002,001/001,001/002,001/002,001/002,001/002,002/002,002/002,002/002,001/002,001/002,001/002,001/002,001/002,002/002,001/002,002/002,002/002,001/001,002/002,002/002,002/002,002/002,002/002,001/002,002/002,001/002,001/002,001/001,001/001,002/002,001/001,002/002,001/001,001/001,002/002,001/001,001/001,000/000,000/000,002/002,001/001,001/002,001/001,001/002,002/002,001/002,001/001,001/001,002/002,001/002,002/002,002/002,001/002,002/002,001/002,001/002,002/002,001/001,002/002,002/002,001/002,001/001,001/002,001/001,002/002,001/001,001/001,001/002,002/002,001/001,002/002,001/001,002/002,001/001,001/002,001/001,002/002,001/002,001/002,001/002,002/002,002/002,002/002,003/008,027/033,008/009,026/034,002/004,005/007,012/020,014/029,009/011,013/016,016/018,004/004,003/003
KTE3_059,KTE3,002/002,001/001,001/002,001/002,002/002,002/002,001/002,001/002,002/002,001/001,001/001,002/002,002/002,001/002,001/001,002/002,001/001,001/002,002/002,001/002,002/002,001/001,001/001,000/000,002/002,001/001,002/002,001/002,001/002,002/002,001/001,002/002,002/002,002/002,002/002,002/002,001/002,002/002,002/002,001/001,001/001,002/002,002/002,001/002,001/002,001/001,001/001,001/001,001/001,001/002,002/002,002/002,002/002,001/001,001/002,001/001,001/001,002/002,002/002,001/001,001/001,002/002,002/002,001/001,002/002,001/001,002/002,002/002,001/002,002/002,001/002,002/002,001/002,001/002,002/002,001/001,001/001,002/002,001/001,001/001,001/002,002/002,001/002,001/002,001/001,001/002,001/002,001/001,001/001,002/002,001/002,001/002,002/002,002/002,001/002,002/002,001/004,030/031,008/008,029/035,002/002,009/015,009/010,004/012,001/023,010/011,004/013,002/004,003/008
KTE3_060,KTE3,002/002,001/002,001/001,002/002,002/002,001/002,001/001,001/001,001/002,001/001,001/002,002/002,002/002,001/001,002/002,002/002,001/001,001/001,002/002,001/002,002/002,001/002,001/001,000/000,002/002,001/002,002/002,001/001,001/001,002/002,001/001,002/002,002/002,001/002,002/002,002/002,002/002,001/002,002/002,001/001,001/002,001/001,002/002,001/001,001/002,001/002,001/001,001/001,001/001,000/000,002/002,000/000,000/000,002/002,001/002,001/001,001/001,001/002,001/002,001/001,001/001,002/002,002/002,001/001,002/002,001/001,002/002,002/002,002/002,002/002,001/001,002/002,002/002,002/002,001/002,001/002,001/001,002/002,001/001,002/002,002/002,002/002,001/001,002/002,001/001,002/002,001/001,001/001,001/001,002/002,001/002,001/001,002/002,002/002,002/002,002/002,001/004,029/033,004/006,034/039,002/002,009/009,008/014,004/025,008/016,010/012,008/012,004/004,003/003
KTE3_061,KTE3,002/002,001/002,001/002,002/002,002/002,001/002,001/002,001/001,002/002,001/001,001/001,002/002,002/002,001/002,002/002,002/002,001/001,001/002,002/002,001/002,002/002,001/001,001/002,001/002,002/002,001/001,002/002,001/002,001/001,001/001,001/001,002/002,001/002,002/002,001/002,002/002,002/002,002/002,002/002,001/002,001/002,001/002,002/002,001/001,002/002,001/001,001/002,001/001,001/001,001/001,002/002,002/002,001/001,001/002,002/002,002/002,001/001,002/002,001/001,001/001,001/001,002/002,002/002,002/002,002/002,001/001,001/002,002/002,002/002,002/002,001/001,001/002,002/002,001/002,002/002,001/002,001/002,002/002,001/001,001/001,002/002,002/002,001/002,002/002,001/001,002/002,001/001,001/001,001/001,002/002,001/002,001/001,001/002,002/002,002/002,002/002,002/003,030/031,004/008,006/006,002/003,005/010,011/018,021/029,011/015,011/011,004/009,004/008,003/003
KTE3_062,KTE3,001/002,002/002,001/002,001/002,002/002,002/002,001/002,001/001,002/002,001/001,001/001,002/002,002/002,001/001,001/002,002/002,001/002,001/002,002/002,001/002,002/002,001/002,001/001,001/002,002/002,001/001,002/002,001/002,001/001,001/002,001/001,002/002,001/002,002/002,002/002,002/002,001/002,002/002,002/002,002/002,002/002,002/002,002/002,001/001,002/002,001/001,001/001,001/002,001/001,001/001,002/002,001/002,001/001,000/000,001/002,001/001,001/001,002/002,001/001,001/001,001/001,002/002,002/002,002/002,002/002,001/001,002/002,002/002,001/001,001/002,002/002,002/002,002/002,001/002,001/001,001/002,001/001,002/002,001/001,001/001,001/002,002/002,001/002,002/002,001/002,001/002,001/001,001/001,001/001,001/002,001/002,001/001,001/002,002/002,002/002,002/002,003/003,029/036,008/008,028/031,002/002,010/025,004/012,004/005,001/007,009/010,011/014,004/005,008/008
KTE3_063,KTE3,001/002,001/001,000/000,001/001,001/002,000/000,000/000,001/001,002/002,001/001,000/000,002/002,002/002,001/002,001/002,002/002,001/002,000/000,001/002,002/002,002/002,001/001,001/001,002/002,002/002,000/000,002/002,000/000,001/001,001/002,000/000,000/000,001/001,001/002,002/002,002/002,000/000,002/002,002/002,000/000,001/001,001/001,002/002,000/000,001/002,001/001,000/000,002/002,001/001,000/000,002/002,002/002,001/001,002/002,001/002,000/000,001/001,002/002,001/001,001/001,001/001,002/002,002/002,002/002,002/002,000/000,002/002,001/002,001/002,002/002,001/001,002/002,002/002,001/001,002/002,000/000,001/001,002/002,000/000,001/002,002/002,002/002,001/001,002/002,001/001,000/000,001/001,000/000,001/001,002/002,002/002,001/001,002/002,001/001,002/002,002/002,001/001,027/033,004/008,041/042,002/004,007/013,011/023,026/031,007/012,000/000,005/018,004/005,003/008
KTE3_064,KTE3,002/002,001/001,001/001,002/002,002/002,002/002,001/002,001/001,001/002,001/001,001/001,002/002,002/002,001/001,001/001,002/002,001/001,001/002,002/002,001/001,000/000,001/001,001/001,001/001,001/002,001/001,002/002,001/001,001/002,002/002,001/001,002/002,001/002,001/002,002/002,001/002,001/002,002/002,001/002,001/002,001/001,001/001,002/002,001/001,002/002,001/001,001/001,001/001,001/001,001/002,002/002,001/002,002/002,001/001,002/002,001/001,001/001,001/002,001/001,001/001,001/001,002/002,001/002,001/002,002/002,001/001,002/002,002/002,001/002,002/002,001/001,002/002,001/002,002/002,001/001,001/002,001/002,002/002,001/002,001/002,002/002,002/002,001/001,002/002,001/001,002/002,001/001,001/001,001/001,002/002,001/001,001/002,002/002,001/002,001/002,002/002,003/003,026/029,004/014,037/039,002/002,012/012,014/025,003/006,011/015,010/014,012/015,004/004,003/008
KTE3_065,KTE3,001/001,001/002,001/002,002/002,002/002,001/001,001/002,001/001,002/002,001/001,001/001,002/002,002/002,001/002,001/002,002/002,001/002,001/002,002/002,001/001,001/002,001/001,001/001,001/002,001/002,001/001,002/002,001/002,001/002,001/002,001/001,001/002,001/002,001/002,002/002,002/002,001/001,001/002,002/002,002/002,001/002,000/000,001/002,001/001,001/002,001/001,001/001,001/002,000/000,001/001,002/002,002/002,002/002,001/002,002/002,001/001,001/001,001/002,001/002,001/002,001/001,001/002,002/002,000/000,002/002,001/001,002/002,002/002,002/002,002/002,001/001,002/002,001/002,001/002,001/002,000/000,000/000,001/002,001/001,001/001,001/002,002/002,001/002,002/002,001/001,002/002,001/001,001/002,001/001,002/002,002/002,001/001,002/002,002/002,002/002,002/002,001/001,027/032,011/011,029/039,002/002,003/009,008/020,005/026,008/021,011/012,009/014,004/004,003/003
KTE3_066,KTE3,001/001,001/001,001/002,002/002,002/002,001/002,001/002,001/001,001/002,001/001,001/001,002/002,002/002,001/001,002/002,002/002,001/002,001/002,002/002,001/002,001/001,001/001,001/001,001/002,002/002,001/001,002/002,001/002,001/002,001/002,001/001,001/001,002/002,002/002,001/002,002/002,002/002,002/002,002/002,001/001,001/002,001/001,002/002,001/001,001/002,001/001,001/001,001/001,001/001,001/001,002/002,002/002,002/002,001/002,002/002,001/001,001/001,002/002,001/001,001/001,001/001,002/002,002/002,002/002,001/002,001/001,002/002,001/002,001/002,002/002,001/001,002/002,002/002,002/002,001/001,001/002,001/001,002/002,001/002,001/002,002/002,002/002,001/001,002/002,001/001,002/002,002/002,001/002,001/001,002/002,002/002,001/001,001/002,002/002,002/002,002/002,001/003,029/033,008/014,029/039,004/007,007/025,002/011,006/024,005/013,008/011,009/021,004/004,003/008
KTE3_067,KTE3,001/001,001/002,001/002,002/002,002/002,002/002,001/001,001/001,001/001,002/002,001/001,002/002,001/001,001/002,002/002,002/002,001/001,001/002,002/002,001/002,002/002,001/002,001/002,001/002,002/002,001/001,002/002,001/002,001/001,001/001,001/001,002/002,001/001,001/002,002/002,002/002,002/002,002/002,002/002,001/002,001/001,001/002,002/002,001/001,002/002,001/001,001/001,001/001,001/001,001/001,002/002,002/002,002/002,001/002,001/001,001/001,001/001,002/002,001/002,001/001,001/001,001/002,001/002,001/002,002/002,001/001,002/002,002/002,001/002,002/002,001/001,002/002,002/002,001/001,000/000,001/002,001/001,002/002,001/002,001/001,002/002,002/002,002/002,002/002,001/002,002/002,002/002,001/001,001/001,002/002,001/002,001/001,002/002,000/000,002/002,002/002,003/003,033/035,005/011,026/034,002/002,005/012,009/009,003/028,014/015,007/011,014/015,004/004,003/008
KTE3_068,KTE3,001/001,001/002,001/001,002/002,001/002,001/002,001/002,001/001,001/001,001/001,001/001,002/002,002/002,001/001,001/002,001/002,001/001,001/002,002/002,001/002,002/002,001/001,001/002,001/001,002/002,001/001,002/002,001/001,001/001,000/000,001/001,001/002,002/002,000/000,000/000,000/000,002/002,000/000,002/002,001/001,001/002,000/000,002/002,001/001,002/002,000/000,001/001,001/001,002/002,001/002,002/002,001/002,001/002,001/002,002/002,001/001,001/001,002/002,002/002,001/001,001/001,002/002,001/002,002/002,002/002,001/001,002/002,002/002,001/002,002/002,000/000,002/002,001/002,001/002,001/002,001/001,001/001,002/002,001/001,001/002,002/002,002/002,001/002,002/002,001/001,002/002,001/002,001/001,001/001,002/002,002/002,001/001,001/002,001/002,002/002,002/002,001/003,000/000,004/011,030/039,002/002,012/012,004/009,023/025,011/015,006/011,010/014,004/004,008/008
KTE3_069,KTE3,001/001,002/002,001/001,001/002,002/002,001/001,001/001,001/002,002/002,001/001,001/001,002/002,002/002,000/000,001/001,002/002,001/001,001/001,002/002,001/001,002/002,000/000,001/002,001/002,002/002,001/001,002/002,001/001,001/002,001/001,001/001,002/002,002/002,001/002,002/002,000/000,002/002,000/000,002/002,001/001,001/001,002/002,002/002,001/001,001/002,001/001,001/001,001/002,001/001,001/001,002/002,000/000,002/002,001/002,002/002,001/001,001/001,002/002,002/002,001/001,001/001,002/002,002/002,002/002,001/002,001/001,002/002,002/002,002/002,002/002,001/001,002/002,001/002,001/002,000/000,001/002,000/000,002/002,001/001,001/001,002/002,002/002,002/002,002/002,001/001,000/000,001/001,000/000,001/002,002/002,001/002,001/001,002/002,002/002,001/002,002/002,001/003,030/032,005/010,022/040,002/002,010/011,007/008,005/024,017/021,006/012,013/015,004/004,003/003
KTE3_070,KTE3,001/001,002/002,001/001,002/002,002/002,001/001,001/001,001/001,001/001,002/002,001/002,002/002,001/001,001/001,001/002,002/002,001/001,001/001,002/002,001/001,002/002,001/001,001/002,001/002,001/002,001/001,002/002,001/002,001/001,001/002,001/001,001/002,002/002,002/002,002/002,002/002,002/002,002/002,002/002,001/001,001/002,001/002,002/002,001/001,002/002,002/002,001/001,001/001,001/001,001/002,002/002,001/002,002/002,001/001,002/002,001/001,001/001,002/002,001/001,001/001,001/001,002/002,002/002,001/002,002/002,001/002,002/002,002/002,002/002,002/002,001/001,002/002,002/002,002/002,001/002,001/001,001/001,002/002,001/001,001/002,002/002,002/002,001/001,001/002,001/001,001/002,001/001,001/002,001/001,002/002,002/002,002/002,002/002,001/002,001/001,002/002,003/006,027/030,011/013,011/042,001/002,012/012,008/010,004/022,011/014,003/007,007/019,004/005,003/008
KTE3_071,KTE3,001/001,001/002,001/002,002/002,002/002,001/002,002/002,001/001,002/002,002/002,001/001,002/002,001/001,001/001,002/002,002/002,001/001,002/002,002/002,002/002,002/002,001/002,001/002,002/002,001/001,001/002,002/002,001/002,001/001,002/002,001/001,001/002,001/002,001/002,001/002,002/002,002/002,002/002,001/002,001/001,001/001,001/001,002/002,001/001,002/002,001/001,001/001,001/001,001/002,001/001,002/002,001/002,001/002,001/002,002/002,001/002,001/001,001/001,001/001,001/001,001/001,002/002,002/002,002/002,002/002,001/001,002/002,002/002,001/002,002/002,001/001,002/002,002/002,001/002,001/002,001/001,001/001,002/002,001/001,001/001,001/002,002/002,002/002,002/002,001/001,002/002,001/001,001/001,001/001,002/002,001/002,001/002,002/002,001/002,002/002,002/002,001/003,027/031,011/011,027/037,002/002,005/014,009/009,005/029,005/018,010/010,014/018,003/004,003/003
KTE3_072,KTE3,001/002,001/002,001/001,002/002,000/000,001/001,001/002,001/001,001/002,001/001,001/001,002/002,002/002,001/001,001/002,002/002,001/002,001/002,002/002,001/001,002/002,001/002,001/002,002/002,002/002,001/001,001/002,001/001,001/001,002/002,001/001,001/001,001/002,002/002,000/000,002/002,002/002,001/002,002/002,002/002,001/002,001/001,002/002,001/002,002/002,001/002,001/001,001/002,001/001,001/002,002/002,001/001,002/002,001/001,001/002,001/001,001/001,001/002,001/001,001/001,001/001,002/002,002/002,001/002,002/002,001/001,002/002,000/000,001/002,001/002,001/001,002/002,001/002,001/002,002/002,001/002,001/001,002/002,001/001,001/001,001/002,002/002,000/000,002/002,001/001,001/002,001/002,001/002,001/001,001/002,001/002,001/001,001/001,002/002,001/002,002/002,003/003,030/032,008/008,007/038,006/007,011/012,008/008,005/026,017/024,012/013,017/017,004/004,003/003
KTE3_073,KTE3,000/000,000/000,001/001,002/002,002/002,001/001,000/000,001/001,002/002,001/001,001/001,002/002,002/002,001/001,000/000,001/001,001/001,002/002,002/002,002/002,000/000,001/001,000/000,000/000,002/002,001/001,000/000,001/001,001/001,002/002,001/001,001/002,002/002,000/000,002/002,002/002,001/001,000/000,002/002,001/001,001/001,000/000,002/002,001/002,001/002,000/000,001/001,001/001,001/001,000/000,002/002,001/001,002/002,001/002,002/002,002/002,001/002,002/002,001/002,001/001,000/000,000/000,002/002,002/002,002/002,000/000,002/002,000/000,002/002,002/002,000/000,002/002,002/002,001/001,001/001,000/000,001/002,002/002,001/001,001/001,002/002,000/000,001/002,000/000,000/000,000/000,001/001,001/001,000/000,002/002,001/001,001/001,002/002,002/002,001/001,002/002,001/003,027/034,009/009,035/039,002/004,010/015,008/009,026/028,013/014,009/012,008/018,003/008,003/008
KTE3_074,KTE3,001/002,002/002,001/001,001/001,002/002,001/001,001/002,001/001,001/002,001/001,001/001,002/002,002/002,001/002,001/002,002/002,001/002,001/001,002/002,001/002,002/002,001/001,001/001,001/002,002/002,001/001,002/002,001/001,000/000,001/002,001/001,001/001,002/002,001/002,002/002,002/002,001/001,002/002,002/002,001/001,001/002,001/001,002/002,001/001,001/002,001/001,001/001,001/002,001/001,001/001,002/002,001/002,001/002,000/000,002/002,001/001,001/001,001/002,001/002,001/001,001/001,001/002,001/002,000/000,002/002,001/001,002/002,002/002,002/002,002/002,001/001,002/002,002/002,002/002,001/001,001/002,001/002,001/002,001/002,001/001,002/002,002/002,001/001,002/002,001/001,002/002,001/002,001/001,001/001,002/002,001/001,001/002,002/002,002/002,001/002,002/002,003/013,021/023,004/011,010/040,002/002,007/012,011/021,020/027,008/016,006/012,018/021,004/005,003/008
KTE3_075,KTE3,000/000,002/002,001/001,001/002,002/002,001/001,001/002,001/001,001/002,001/001,001/001,002/002,002/002,001/001,001/002,002/002,001/002,001/002,002/002,001/001,002/002,001/001,001/001,000/000,002/002,001/001,002/002,001/001,001/001,002/002,001/001,001/001,001/001,002/002,002/002,002/002,001/002,001/002,002/002,001/002,001/001,001/001,002/002,000/000,001/002,001/001,001/001,001/001,001/001,001/001,002/002,001/002,001/002,001/002,001/002,001/001,001/001,002/002,001/002,001/001,001/001,002/002,001/002,002/002,002/002,001/001,002/002,002/002,002/002,002/002,001/002,002/002,001/002,001/001,001/001,002/002,001/002,002/002,001/001,001/002,002/002,002/002,001/001,002/002,000/000,002/002,001/001,001/001,001/001,002/002,001/001,001/001,002/002,002/002,002/002,002/002,003/003,029/032,008/016,034/038,004/004,007/021,012/020,024/027,020/026,011/016,008/015,004/004,003/008
KTE3_076,KTE3,000/000,001/002,001/001,002/002,002/002,000/000,002/002,001/001,002/002,002/002,001/001,002/002,001/001,001/001,000/000,000/000,002/002,000/000,001/002,002/002,000/000,000/000,001/001,000/000,002/002,001/001,000/000,001/001,001/001,000/000,000/000,000/000,002/002,001/002,002/002,002/002,001/001,000/000,002/002,000/000,001/001,001/001,002/002,001/001,001/002,001/001,001/001,001/001,001/001,001/001,002/002,001/001,001/001,001/001,002/002,000/000,001/001,002/002,000/000,000/000,001/001,000/000,002/002,002/002,000/000,000/000,002/002,000/000,002/002,001/001,001/002,002/002,002/002,002/002,002/002,000/000,001/001,002/002,001/001,001/001,002/002,000/000,000/000,002/002,001/001,000/000,001/001,001/001,000/000,002/002,001/001,000/000,002/002,000/000,000/000,002/002,001/003,000/000,010/012,030/040,002/002,007/010,000/000,004/027,015/015,000/000,012/016,004/005,003/004
KTE3_077,KTE3,001/001,002/002,001/001,002/002,002/002,001/001,001/001,001/001,001/002,001/001,001/001,002/002,002/002,001/001,002/002,002/002,001/001,002/002,002/002,001/002,002/002,001/002,000/000,000/000,002/002,001/002,002/002,001/001,001/002,000/000,001/001,002/002,000/000,000/000,000/000,002/002,000/000,002/002,000/000,000/000,001/001,001/001,002/002,001/001,001/002,001/001,000/000,001/001,001/001,001/001,002/002,001/001,002/002,002/002,002/002,000/000,001/001,000/000,002/002,001/001,001/001,002/002,000/000,002/002,002/002,000/000,000/000,002/002,001/001,002/002,001/001,002/002,001/002,000/000,001/001,001/002,001/001,002/002,001/002,001/001,002/002,002/002,001/001,000/000,001/001,002/002,001/002,001/001,000/000,001/002,000/000,001/001,002/002,002/002,000/000,002/002,003/003,028/030,007/014,000/000,002/002,009/011,008/011,024/025,011/024,007/011,006/018,004/004,003/008
KTE3_078,KTE3,001/002,002/002,001/001,002/002,002/002,001/002,002/002,001/001,001/002,001/001,001/001,002/002,002/002,001/001,002/002,002/002,001/001,002/002,002/002,001/002,002/002,001/001,001/001,001/002,001/002,001/001,001/002,001/001,001/002,002/002,001/001,002/002,001/002,002/002,001/002,002/002,002/002,002/002,002/002,001/001,002/002,001/002,002/002,001/001,001/002,001/001,001/001,001/001,001/001,001/001,002/002,002/002,002/002,002/002,002/002,001/002,001/001,001/002,001/001,001/001,001/001,001/001,002/002,001/002,002/002,001/001,002/002,002/002,001/001,002/002,001/001,002/002,002/002,001/002,000/000,002/002,001/002,002/002,001/001,001/001,002/002,002/002,001/001,002/002,001/001,002/002,000/000,001/001,001/001,002/002,001/002,000/000,001/002,002/002,002/002,002/002,003/003,007/034,011/015,028/039,002/002,007/009,008/012,025/028,013/015,013/014,014/014,004/008,008/008
KTE3_079,KTE3,001/001,002/002,001/001,002/002,002/002,001/002,001/002,001/001,002/002,001/001,001/001,002/002,002/002,001/001,002/002,002/002,001/001,002/002,002/002,001/002,002/002,001/001,001/001,001/002,002/002,001/001,001/002,001/002,002/002,001/001,001/001,001/001,002/002,001/001,002/002,002/002,002/002,002/002,002/002,001/001,001/002,001/001,001/002,001/001,002/002,001/002,001/001,001/001,001/001,001/001,002/002,001/001,002/002,001/001,002/002,001/001,000/000,002/002,002/002,001/001,001/001,002/002,002/002,001/002,002/002,001/001,002/002,002/002,002/002,002/002,001/001,002/002,002/002,001/002,001/002,002/002,002/002,002/002,001/002,001/001,002/002,002/002,001/002,002/002,001/001,002/002,001/001,001/001,001/001,002/002,001/002,001/001,001/002,002/002,002/002,002/002,003/004,029/033,004/012,035/039,002/004,009/009,008/009,014/023,007/020,013/016,008/021,004/004,008/008
KTE3_080,KTE3,000/000,000/000,000/000,002/002,002/002,000/000,001/001,000/000,002/002,002/002,001/001,002/002,001/001,001/001,000/000,000/000,000/000,000/000,002/002,000/000,000/000,001/001,001/001,001/001,000/000,001/001,002/002,002/002,000/000,000/000,000/000,000/000,000/000,000/000,001/001,002/002,000/000,000/000,000/000,001/001,000/000,000/000,000/000,000/000,000/000,000/000,001/001,000/000,000/000,001/001,002/002,001/001,002/002,000/000,002/002,000/000,000/000,000/000,002/002,000/000,000/000,002/002,000/000,000/000,000/000,000/000,002/002,002/002,000/000,002/002,000/000,000/000,000/000,001/001,000/000,000/000,000/000,002/002,001/001,000/000,002/002,000/000,000/000,000/000,000/000,001/001,000/000,001/001,000/000,000/000,000/000,001/001,002/002,002/002,002/002,002/002,003/003,029/033,004/012,035/039,000/000,009/009,008/009,004/026,007/020,013/016,000/000,004/004,003/008
KTE3_081,KTE3,001/002,000/000,001/002,002/002,002/002,002/002,001/001,001/002,001/002,001/001,001/001,002/002,002/002,002/002,001/002,002/002,001/001,001/001,002/002,001/001,002/002,001/002,001/002,001/002,001/002,001/001,002/002,001/001,002/002,000/000,001/001,001/001,002/002,002/002,001/002,001/002,001/002,002/002,001/002,001/001,001/002,001/002,002/002,001/001,001/002,001/001,001/001,001/002,001/001,001/002,002/002,002/002,002/002,001/001,002/002,001/002,001/001,002/002,001/002,001/001,001/001,001/002,002/002,001/002,002/002,001/001,002/002,002/002,001/001,002/002,001/002,002/002,002/002,001/002,002/002,000/000,002/002,002/002,001/001,001/001,002/002,002/002,002/002,002/002,001/001,002/002,001/001,001/001,001/001,002/002,002/002,000/000,002/002,002/002,002/002,002/002,001/004,032/035,004/009,037/041,002/002,010/012,011/025,024/025,007/009,013/013,010/012,004/004,008/008
KTE3_082,KTE3,001/001,002/002,001/001,001/002,002/002,001/001,001/001,001/001,001/002,001/001,001/001,002/002,002/002,001/001,002/002,002/002,001/002,001/002,002/002,001/002,001/002,001/001,002/002,001/002,001/002,001/002,001/002,001/002,001/001,002/002,001/001,001/001,001/002,002/002,002/002,002/002,002/002,002/002,002/002,001/001,001/001,001/002,002/002,001/002,001/002,001/001,001/001,001/001,001/001,001/002,002/002,001/001,002/002,002/002,002/002,001/001,001/001,002/002,001/001,001/001,001/001,002/002,002/002,002/002,002/002,001/001,002/002,002/002,002/002,002/002,001/001,002/002,002/002,002/002,001/002,002/002,001/002,002/002,001/001,001/001,001/001,002/002,001/001,001/002,002/002,002/002,001/002,001/001,001/001,001/002,002/002,001/002,001/002,001/002,002/002,002/002,003/003,033/036,004/005,027/039,002/002,007/011,009/014,006/006,016/022,011/013,007/015,004/004,003/008
