Ind	Pop	One_ACBP_79	One_agt_132	One_aldB_152	One_apoe_83	One_c3_98	One_CD9_269	One_cetn1_167	One_CFP1	One_cin_177	One_ctgf_301	One_E2	One_gdh_212	One_GHII_2461	One_ghsR_66	One_GPDH	One_GPDH2	One_GPH_414	One_hcs71_220	One_HGFA	One_HpaI_436	One_HpaI_99	One_Hsp47	One_IL8r_362	One_KCT1_453	One_KPNA_422	One_LEI_87	One_lpp1_44	One_metA_253	One_MHC2_190	One_MHC2_251	One_Mkpro_129	One_ODC1_196	One_Ots208_234	One_Ots213_181	One_p53_576	One_pax7_248	One_PIP	One_Prl2	One_rab1a_76	One_RAG1_103	One_RAG3_93	One_redd1_414	One_RF_112	One_RF_295	One_rpo2j_261	One_sast_211	One_spf30_207	One_srp09_127	One_ssrd_135	One_STC_410	One_STR07	One_SUMO1_6	One_sys1_230	One_taf12_248	One_Tf_ex10_750	One_Tf_ex3_182	One_tshB_92	One_txnip_401	One_U1003_75	One_U1004_183	One_U1009_91	One_U1010_81	One_U1012_68	One_U1013_108	One_U1014_74	One_U1016_115	One_U1024_197	One_U1101	One_U1103	One_U1105	One_U1201_492	One_U1202_1052	One_U1203_175	One_U1204_53	One_U1205_57	One_U1206_108	One_U1208_67	One_U1209_111	One_U1210_173	One_U1212_106	One_U1214_107	One_U1216_230	One_U301_92	One_U401_224	One_U404_229	One_U502_167	One_U503_170	One_U504_141	One_vamp5_255	One_vatf_214	One_VIM_569	One_ZNF_61	One_zP3b	One_Omy77v4	One_One100	One_One102v4	One_One103PT	One_One105	One_One108v4	One_One110v4	One_One111v4	One_One114v4	One_One115	One_Ots103v4	One_Ots107v4	One_uSat60v4	One_CO1	One_Cytb_17	One_Cytb_26
FBM3_088	FBM3	001/001	001/002	001/001	002/002	002/002	001/001	001/002	001/001	001/001	001/001	001/001	001/002	002/002	001/001	002/002	002/002	001/002	001/002	001/001	001/002	001/002	001/002	001/001	001/002	001/002	001/001	001/001	001/001	001/002	001/002	001/002	001/002	001/002	002/002	001/002	002/002	001/001	001/002	001/001	002/002	001/001	002/002	001/001	001/001	001/002	001/001	001/002	002/002	002/002	002/002	001/002	002/002	002/002	001/001	002/002	002/002	001/001	001/001	002/002	002/002	001/001	002/002	001/002	002/002	001/002	001/002	002/002	001/001	002/002	002/002	002/002	001/001	001/002	001/001	002/002	001/002	001/002	002/002	001/002	001/001	002/002	001/002	001/002	001/001	001/001	001/001	002/002	002/002	002/002	001/002	002/002	001/001	002/002	100/104	348/352	207/243	210/318	128/132	192/208	238/274	194/274	251/295	000/000	157/205	110/114	116/116	001	002	002
FBM3_089	FBM3	000/000	002/002	001/001	001/001	002/002	002/002	002/002	001/001	001/002	001/001	001/001	000/000	002/002	001/002	002/002	002/002	001/002	002/002	001/001	001/002	001/002	001/002	001/002	001/001	001/002	001/001	001/001	001/001	001/002	001/002	001/002	001/002	001/002	000/000	002/002	002/002	000/000	001/002	001/002	002/002	000/000	002/002	001/001	001/001	001/002	001/001	001/001	002/002	002/002	001/002	001/002	002/002	001/002	001/002	002/002	002/002	000/000	001/001	001/002	001/002	001/001	002/002	001/001	002/002	001/002	001/002	001/002	001/001	002/002	002/002	002/002	002/002	000/000	001/002	002/002	001/001	001/001	002/002	001/001	001/001	002/002	001/001	001/002	001/001	001/001	001/001	001/002	001/002	001/001	002/002	001/002	001/002	002/002	104/106	328/340	227/243	310/310	128/128	176/212	238/242	242/278	235/275	213/213	157/161	110/114	116/128	001	002	002
FBM3_090	FBM3	001/001	001/002	001/001	002/002	001/002	001/001	001/002	001/002	001/002	001/001	001/001	002/002	002/002	001/002	001/002	002/002	001/002	002/002	001/001	001/001	001/002	002/002	001/001	001/002	001/001	001/001	001/001	001/001	001/001	002/002	001/001	002/002	001/002	001/002	002/002	002/002	002/002	001/001	001/002	001/002	001/001	002/002	001/002	001/001	001/001	001/001	001/001	002/002	001/002	001/002	002/002	001/002	002/002	001/001	002/002	001/002	001/001	001/001	001/002	001/002	001/002	002/002	001/002	002/002	001/002	001/001	001/002	001/001	001/002	002/002	001/001	001/001	001/002	001/002	002/002	001/001	002/002	002/002	002/002	001/001	002/002	001/001	002/002	001/001	001/001	001/001	002/002	001/001	001/001	002/002	002/002	001/002	002/002	100/104	336/348	231/239	290/318	128/128	196/196	238/258	282/282	251/263	197/205	157/161	114/114	116/118	002	001	002
FBM3_091	FBM3	001/001	002/002	001/001	001/001	002/002	001/002	001/002	001/002	001/002	001/001	001/002	002/002	002/002	001/001	001/002	002/002	001/001	002/002	001/001	001/001	001/002	001/002	001/001	002/002	001/001	001/001	002/002	001/001	001/002	001/002	001/001	001/001	002/002	002/002	002/002	002/002	001/001	001/002	001/002	002/002	001/001	002/002	001/001	001/002	001/001	001/001	001/002	002/002	001/002	001/001	001/002	001/002	001/002	001/002	002/002	002/002	001/001	001/001	002/002	001/002	001/002	002/002	001/001	002/002	001/001	001/002	002/002	001/001	002/002	002/002	001/002	001/002	001/001	001/001	002/002	001/001	001/001	002/002	002/002	001/002	002/002	001/002	002/002	001/002	001/001	001/001	002/002	001/002	001/002	001/002	001/002	001/001	002/002	104/104	332/360	247/247	170/302	128/128	196/204	242/270	206/206	235/283	201/213	157/197	114/114	116/116	001	002	002
FBM3_092	FBM3	001/002	001/002	001/001	001/002	002/002	001/002	002/002	001/002	002/002	001/001	001/001	001/002	002/002	001/001	001/001	002/002	001/002	002/002	001/002	000/000	002/002	001/001	001/001	002/002	001/001	001/001	002/002	001/001	001/002	001/002	002/002	001/002	002/002	002/002	002/002	002/002	001/001	001/002	001/002	002/002	001/001	000/000	001/001	001/001	001/002	001/001	001/001	002/002	002/002	001/002	001/002	002/002	001/001	001/001	002/002	000/000	001/001	001/001	002/002	001/002	001/001	002/002	001/001	001/001	002/002	002/002	002/002	001/001	001/002	002/002	001/002	001/001	001/002	001/001	002/002	001/001	001/002	002/002	002/002	001/002	002/002	001/001	002/002	001/002	001/001	001/001	002/002	000/000	001/001	002/002	002/002	002/002	002/002	106/108	332/332	231/243	186/298	128/132	176/192	238/238	286/286	271/283	217/217	189/201	114/118	116/128	001	002	002
FBM3_093	FBM3	001/002	001/002	001/001	001/002	002/002	001/002	002/002	001/001	002/002	001/001	001/002	002/002	002/002	001/001	002/002	002/002	001/002	002/002	001/001	001/001	001/002	002/002	001/001	002/002	001/001	001/001	001/002	001/001	002/002	001/001	002/002	001/002	002/002	001/002	002/002	001/002	001/001	002/002	001/002	002/002	001/001	001/001	001/001	001/001	001/001	001/001	001/001	002/002	001/002	001/001	001/001	001/002	001/001	001/001	002/002	001/002	001/001	001/001	001/002	001/002	002/002	002/002	001/002	002/002	001/002	002/002	002/002	001/001	002/002	001/002	001/002	002/002	001/002	001/001	002/002	001/002	001/002	002/002	002/002	001/001	002/002	001/001	002/002	001/001	001/001	001/001	002/002	001/002	001/001	001/002	002/002	001/002	002/002	100/104	340/364	223/231	190/326	128/128	196/204	238/242	202/202	247/251	205/213	161/205	110/118	128/128	001	002	002
FBM3_094	FBM3	001/002	001/002	001/002	001/001	002/002	001/001	001/002	001/002	001/001	001/001	001/001	002/002	002/002	001/001	002/002	002/002	001/001	002/002	001/001	001/001	001/002	001/002	001/001	002/002	001/001	001/001	002/002	001/001	001/001	002/002	001/002	001/001	002/002	001/002	002/002	002/002	001/002	001/001	001/002	002/002	001/001	002/002	001/002	001/001	001/001	001/001	001/002	002/002	001/001	002/002	001/001	001/002	001/002	001/002	002/002	001/002	001/001	001/001	002/002	001/002	002/002	002/002	001/001	001/002	002/002	001/001	002/002	001/001	002/002	001/002	001/002	001/002	001/002	001/001	002/002	001/002	001/002	002/002	002/002	002/002	002/002	001/002	002/002	001/001	001/001	001/001	002/002	001/002	001/001	001/002	002/002	002/002	002/002	104/104	336/344	235/239	258/326	128/128	192/228	242/258	206/222	247/275	201/213	161/177	110/080	116/116	001	002	002
FBM3_095	FBM3	001/002	001/002	001/001	002/002	002/002	001/002	000/000	001/001	002/002	001/001	002/002	002/002	002/002	001/001	001/002	002/002	001/001	002/002	001/002	001/002	001/001	001/002	001/001	001/002	001/002	001/001	001/001	001/001	001/002	001/002	002/002	002/002	002/002	002/002	002/002	002/002	002/002	001/002	001/001	001/002	001/001	001/002	001/002	001/001	001/002	001/001	001/001	002/002	001/002	002/002	001/001	001/002	001/001	001/001	002/002	001/002	001/002	001/001	002/002	001/002	002/002	002/002	001/002	002/002	001/002	002/002	001/002	001/001	002/002	002/002	001/002	002/002	001/001	001/001	002/002	001/001	001/001	001/002	001/002	001/001	002/002	001/001	001/002	001/001	001/001	001/001	002/002	001/002	001/001	002/002	001/002	001/001	002/002	106/106	340/356	211/239	278/318	128/128	204/208	250/270	202/202	243/283	197/217	197/201	114/114	116/128	002	002	001
FBM4_001	FBM4	000/000	002/002	001/001	000/000	002/002	001/001	001/002	001/001	002/002	001/001	001/002	002/002	002/002	001/001	000/000	000/000	001/002	000/000	000/000	001/001	000/000	001/002	001/001	002/002	000/000	000/000	001/002	001/001	000/000	001/002	002/002	000/000	001/002	000/000	002/002	002/002	001/001	001/001	000/000	002/002	000/000	001/001	001/001	001/001	001/001	001/001	001/002	002/002	002/002	000/000	000/000	002/002	001/002	000/000	002/002	002/002	001/001	001/001	002/002	001/001	001/002	002/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	002/002	000/000	000/000	001/001	001/001	002/002	000/000	000/000	000/000	002/002	000/000	002/002	001/001	002/002	000/000	001/001	001/001	001/002	000/000	000/000	000/000	000/000	001/002	000/000	100/104	332/348	227/243	186/314	128/128	200/208	238/254	202/270	247/267	205/205	161/161	114/118	116/128	001	002	000
FBM4_002	FBM4	001/001	002/002	001/001	002/002	002/002	001/001	001/001	001/001	001/002	001/001	001/001	001/002	002/002	001/001	001/002	002/002	002/002	001/002	001/001	002/002	002/002	002/002	001/001	002/002	001/001	001/002	002/002	001/001	001/002	002/002	001/002	001/001	001/002	001/001	002/002	001/002	001/001	002/002	001/001	002/002	001/001	001/001	001/002	001/001	001/001	001/001	001/002	002/002	001/001	002/002	001/002	002/002	001/001	001/001	002/002	001/002	001/001	001/001	002/002	001/001	001/001	002/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	001/002	001/002	001/002	001/002	002/002	002/002	001/001	001/002	002/002	002/002	001/002	002/002	001/001	002/002	001/001	001/001	001/001	002/002	002/002	001/001	002/002	001/002	002/002	002/002	104/104	324/340	223/235	186/210	128/128	196/224	254/258	198/290	219/247	000/000	161/161	114/080	128/128	002	002	001
FBM4_003	FBM4	001/002	002/002	001/001	002/002	002/002	002/002	002/002	001/001	002/002	001/001	001/001	002/002	002/002	001/001	001/002	002/002	002/002	002/002	001/001	001/002	001/001	002/002	001/001	001/002	001/001	001/002	001/001	001/001	001/001	000/000	001/002	002/002	001/002	001/001	002/002	002/002	001/001	001/002	000/000	002/002	001/001	001/001	001/001	001/001	001/001	001/001	001/002	002/002	002/002	001/002	001/002	002/002	001/002	001/001	002/002	002/002	001/001	001/001	002/002	002/002	002/002	002/002	001/002	002/002	002/002	001/002	002/002	001/002	002/002	001/002	002/002	001/002	001/001	002/002	002/002	001/001	000/000	001/002	002/002	001/002	002/002	001/001	002/002	001/002	001/001	001/001	002/002	002/002	002/002	001/002	001/002	001/002	002/002	100/104	324/340	219/227	310/310	132/132	188/216	246/246	202/294	219/231	197/213	157/157	114/080	118/128	001	002	002
FBM4_004	FBM4	001/001	001/002	001/001	001/002	002/002	001/001	001/002	001/001	002/002	001/001	001/001	002/002	002/002	001/001	001/002	002/002	001/002	002/002	001/001	001/001	001/001	001/001	001/001	001/002	001/002	001/001	001/002	001/001	002/002	001/001	001/002	001/001	002/002	000/000	002/002	002/002	000/000	001/001	001/001	000/000	001/001	001/002	001/002	001/001	001/001	001/001	001/002	002/002	001/002	001/002	002/002	002/002	001/002	001/001	002/002	002/002	001/001	001/001	001/002	001/001	001/002	002/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	001/002	001/002	001/001	001/001	001/002	002/002	000/000	001/001	002/002	002/002	001/001	002/002	001/001	001/002	001/001	001/001	001/001	001/001	002/002	002/002	001/001	002/002	001/002	001/002	100/100	336/340	227/231	286/290	128/128	200/208	238/238	206/274	259/259	177/197	157/165	114/118	128/128	001	002	002
FBM4_005	FBM4	000/000	001/001	001/001	002/002	002/002	001/001	002/002	000/000	001/002	001/001	000/000	002/002	002/002	001/001	001/001	002/002	000/000	000/000	000/000	001/002	000/000	001/002	001/001	002/002	000/000	000/000	001/002	001/001	001/001	001/001	002/002	000/000	002/002	000/000	002/002	002/002	001/001	002/002	001/001	002/002	001/001	000/000	001/001	001/001	002/002	001/001	001/002	002/002	002/002	002/002	000/000	002/002	001/001	001/001	002/002	002/002	000/000	001/001	002/002	001/002	002/002	002/002	001/001	002/002	002/002	001/001	002/002	000/000	002/002	001/002	002/002	000/000	001/002	001/001	002/002	001/001	001/001	000/000	002/002	001/002	002/002	001/001	002/002	001/002	001/001	001/001	002/002	001/001	001/002	002/002	001/002	001/002	000/000	100/104	352/364	223/231	278/310	128/132	200/204	242/250	202/282	247/263	205/217	161/161	110/114	128/130	002	001	000
FBM4_006	FBM4	000/000	001/001	001/001	000/000	002/002	000/000	001/002	000/000	002/002	001/001	000/000	002/002	001/002	001/001	000/000	000/000	000/000	000/000	000/000	001/002	000/000	002/002	001/001	001/002	000/000	000/000	002/002	001/001	000/000	001/002	002/002	000/000	001/002	000/000	002/002	002/002	000/000	002/002	000/000	002/002	000/000	000/000	001/001	001/001	001/001	000/000	000/000	002/002	002/002	000/000	000/000	002/002	001/001	001/001	000/000	000/000	000/000	001/001	002/002	001/002	001/001	002/002	000/000	002/002	002/002	001/001	002/002	000/000	000/000	002/002	000/000	000/000	002/002	000/000	002/002	000/000	000/000	000/000	002/002	001/001	002/002	001/001	000/000	001/001	001/001	001/001	002/002	002/002	000/000	002/002	000/000	002/002	000/000	100/106	270/352	223/223	000/000	000/000	200/208	270/274	000/000	263/263	209/213	169/205	110/114	116/128	002	002	000
FBM4_007	FBM4	000/000	002/002	001/001	000/000	002/002	000/000	002/002	000/000	001/002	001/001	000/000	002/002	002/002	001/001	000/000	000/000	002/002	000/000	000/000	001/002	000/000	001/002	001/001	001/002	000/000	000/000	001/001	001/001	000/000	000/000	001/002	000/000	002/002	000/000	002/002	002/002	000/000	000/000	000/000	002/002	000/000	000/000	001/001	001/001	000/000	001/001	000/000	002/002	001/002	000/000	000/000	002/002	000/000	001/001	000/000	000/000	000/000	001/001	000/000	000/000	000/000	002/002	000/000	002/002	002/002	001/001	002/002	001/001	000/000	001/002	000/000	000/000	000/000	001/001	002/002	000/000	001/001	000/000	002/002	001/001	002/002	001/001	000/000	001/001	001/001	001/001	002/002	002/002	000/000	000/000	000/000	000/000	000/000	104/106	324/344	207/219	194/322	128/128	196/200	238/258	000/000	255/259	205/221	161/205	114/114	116/128	001	002	000
FBM4_008	FBM4	000/000	001/002	001/001	000/000	000/000	001/001	001/002	000/000	002/002	001/001	000/000	000/000	000/000	001/001	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	002/002	000/000	000/000	000/000	001/001	000/000	000/000	000/000	000/000	000/000	000/000	000/000	002/002	000/000	002/002	000/000	002/002	000/000	000/000	001/001	001/001	000/000	001/001	000/000	002/002	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	001/001	000/000	002/002	000/000	002/002	000/000	000/000	000/000	002/002	002/002	001/001	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	002/002	001/001	000/000	000/000	000/000	001/001	002/002	000/000	000/000	000/000	000/000	000/000	000/000	104/106	352/356	227/239	278/314	128/128	196/208	242/250	000/000	247/251	213/221	161/177	114/080	128/128	001	000	000
FBM4_009	FBM4	000/000	001/002	001/001	000/000	002/002	001/001	002/002	000/000	002/002	001/001	000/000	002/002	002/002	001/001	000/000	000/000	001/002	000/000	000/000	000/000	000/000	000/000	001/001	002/002	000/000	000/000	000/000	001/001	000/000	000/000	000/000	000/000	000/000	000/000	000/000	002/002	000/000	002/002	000/000	002/002	000/000	000/000	001/001	001/001	000/000	001/001	000/000	002/002	002/002	000/000	000/000	000/000	000/000	001/001	000/000	000/000	000/000	001/001	000/000	002/002	001/001	002/002	000/000	000/000	000/000	002/002	002/002	001/001	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	002/002	001/001	000/000	000/000	001/001	001/001	001/002	000/000	000/000	000/000	000/000	000/000	000/000	100/104	340/360	219/235	186/314	132/136	192/244	238/238	202/266	251/275	209/233	161/177	114/118	116/116	001	000	000
FBM4_010	FBM4	001/001	001/001	001/001	000/000	002/002	001/001	001/002	001/001	002/002	001/001	000/000	001/002	002/002	001/001	000/000	002/002	001/002	000/000	000/000	000/000	000/000	002/002	001/001	002/002	000/000	000/000	002/002	001/001	000/000	002/002	002/002	000/000	002/002	000/000	000/000	001/002	000/000	000/000	000/000	002/002	000/000	000/000	001/001	001/001	001/001	001/001	001/002	002/002	001/002	000/000	000/000	000/000	001/002	001/001	000/000	002/002	000/000	001/001	000/000	001/002	001/001	002/002	000/000	002/002	001/002	001/002	002/002	001/001	000/000	002/002	000/000	001/002	000/000	000/000	002/002	000/000	000/000	000/000	002/002	001/001	002/002	001/001	002/002	001/002	001/001	001/001	002/002	002/002	000/000	000/000	000/000	002/002	000/000	104/106	340/352	223/235	314/342	128/128	236/260	242/270	270/290	247/255	213/217	161/193	114/118	116/128	001	002	000
FBM4_011	FBM4	001/002	001/001	001/001	001/002	002/002	001/002	002/002	001/002	001/002	001/001	001/002	001/002	002/002	001/001	001/002	002/002	002/002	002/002	001/002	001/001	001/002	002/002	001/001	002/002	001/001	001/002	001/002	001/001	001/002	001/002	001/002	002/002	002/002	002/002	002/002	001/002	001/001	001/001	001/001	002/002	001/001	001/002	001/002	001/001	001/001	001/001	001/002	002/002	002/002	001/002	001/001	002/002	001/002	001/001	002/002	001/002	001/001	001/001	002/002	001/002	001/002	002/002	001/002	002/002	001/002	002/002	002/002	001/001	002/002	002/002	002/002	001/001	001/001	001/002	002/002	001/002	001/001	002/002	000/000	001/002	002/002	001/001	002/002	001/001	001/001	001/001	001/002	001/002	001/001	002/002	002/002	001/002	002/002	106/094	348/348	239/243	286/286	128/128	180/196	246/270	198/198	247/255	197/217	161/161	114/118	116/128	002	002	001
FBM4_012	FBM4	002/002	001/002	001/001	001/001	002/002	001/002	002/002	001/001	001/002	001/001	001/001	001/002	002/002	001/001	001/001	002/002	001/002	002/002	001/001	001/002	001/001	001/002	001/001	002/002	001/001	001/001	001/002	001/001	001/002	001/002	001/002	001/002	001/002	002/002	002/002	002/002	001/001	002/002	001/001	001/002	001/001	001/002	001/001	001/001	001/002	001/001	001/002	002/002	001/002	001/002	002/002	001/002	001/001	001/002	002/002	002/002	001/001	001/001	002/002	001/001	001/002	002/002	001/001	001/002	002/002	002/002	002/002	001/001	002/002	002/002	001/002	001/001	001/002	001/002	002/002	001/001	001/001	001/002	002/002	001/001	002/002	001/001	002/002	001/001	001/001	001/001	002/002	002/002	001/002	001/002	002/002	001/002	001/002	104/104	344/348	231/235	294/310	128/128	212/212	246/250	202/238	239/279	197/209	157/201	110/114	116/116	001	002	002
FBM4_013	FBM4	000/000	000/000	001/001	000/000	000/000	000/000	002/002	000/000	001/002	001/001	000/000	002/002	002/002	001/001	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	002/002	000/000	000/000	002/002	001/001	000/000	000/000	000/000	000/000	000/000	000/000	000/000	002/002	000/000	000/000	000/000	000/000	000/000	000/000	000/000	001/001	000/000	001/001	000/000	002/002	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	001/001	000/000	001/002	002/002	002/002	000/000	000/000	000/000	002/002	002/002	001/001	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	002/002	001/001	002/002	001/001	000/000	001/001	001/001	001/001	002/002	000/000	000/000	000/000	000/000	000/000	000/000	104/104	340/340	227/227	190/294	128/128	192/208	238/250	198/278	267/299	197/213	157/201	110/114	116/118	000	000	000
FBM4_014	FBM4	000/000	001/002	001/001	000/000	000/000	000/000	002/002	000/000	002/002	001/001	000/000	000/000	000/000	001/001	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	002/002	000/000	000/000	000/000	001/001	000/000	000/000	000/000	000/000	000/000	000/000	000/000	002/002	000/000	000/000	000/000	000/000	000/000	000/000	000/000	001/001	000/000	000/000	000/000	002/002	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	001/001	000/000	001/002	002/002	002/002	000/000	000/000	000/000	002/002	002/002	001/001	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	002/002	000/000	002/002	001/001	000/000	001/001	001/001	001/001	001/002	000/000	000/000	000/000	000/000	000/000	000/000	100/104	344/360	235/247	290/310	128/132	196/204	238/246	202/202	247/263	201/217	157/157	114/114	116/116	001	000	000
FBM4_015	FBM4	000/000	001/002	001/001	000/000	000/000	000/000	000/000	000/000	002/002	001/001	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	002/002	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	002/002	000/000	002/002	000/000	000/000	000/000	000/000	000/000	001/001	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	001/001	000/000	002/002	000/000	000/000	000/000	000/000	000/000	002/002	002/002	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	001/001	000/000	000/000	000/000	001/001	002/002	000/000	000/000	000/000	000/000	000/000	000/000	100/104	340/360	219/227	298/310	128/132	192/244	238/238	202/266	243/251	209/233	157/161	114/080	116/116	001	000	000
FBM4_016	FBM4	000/000	000/000	001/001	000/000	000/000	000/000	000/000	000/000	000/000	001/001	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	001/001	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	001/001	000/000	001/002	000/000	000/000	000/000	000/000	000/000	002/002	002/002	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	000/000	001/001	002/002	000/000	000/000	000/000	000/000	000/000	000/000	104/110	340/356	215/223	290/314	128/132	204/208	238/266	198/274	247/255	197/201	000/000	114/114	116/128	001	000	000
FBM4_017	FBM4	001/002	001/002	001/001	002/002	002/002	001/001	002/002	001/001	001/002	001/001	001/001	001/002	002/002	001/001	002/002	001/002	001/002	002/002	001/001	001/001	001/002	002/002	001/001	002/002	001/001	001/001	001/002	001/001	001/001	002/002	002/002	001/001	002/002	001/002	002/002	002/002	001/002	001/002	002/002	002/002	001/002	001/001	001/001	001/001	001/001	001/001	001/001	002/002	001/002	001/001	001/002	001/002	001/002	001/001	002/002	002/002	001/001	001/001	002/002	001/002	001/002	002/002	001/002	002/002	001/001	002/002	001/002	001/001	002/002	002/002	001/002	002/002	002/002	001/001	002/002	001/001	001/001	002/002	002/002	001/001	002/002	001/001	001/002	001/001	001/001	001/001	002/002	002/002	001/002	000/000	002/002	001/002	002/002	100/098	320/360	207/243	298/310	128/128	192/196	242/250	202/302	255/259	217/217	157/205	114/118	116/128	001	002	002
FBM4_018	FBM4	002/002	001/002	001/001	002/002	002/002	001/001	001/002	001/001	001/002	001/001	001/001	002/002	002/002	001/001	002/002	002/002	001/002	002/002	001/001	001/002	002/002	001/002	001/001	002/002	001/001	001/001	002/002	001/001	001/002	001/002	002/002	001/002	002/002	002/002	002/002	002/002	001/001	001/001	001/002	002/002	001/001	001/002	001/002	001/001	002/002	001/001	001/001	002/002	002/002	001/002	001/001	001/002	001/002	001/001	002/002	001/002	001/001	001/001	001/002	002/002	001/001	002/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	002/002	001/002	001/001	002/002	001/001	002/002	001/002	001/001	002/002	002/002	001/001	002/002	001/001	001/002	001/002	001/002	001/001	002/002	002/002	001/001	002/002	001/002	001/002	002/002	100/104	340/348	227/239	000/000	128/128	192/200	238/242	202/202	219/259	205/221	157/181	114/114	116/116	001	002	002
FBM4_019	FBM4	002/002	001/001	001/001	002/002	001/002	001/001	002/002	001/002	001/001	001/001	001/001	002/002	001/002	001/001	001/002	001/002	001/002	002/002	002/002	001/002	001/002	001/001	001/001	002/002	001/001	001/001	002/002	001/001	001/002	001/001	001/002	001/002	002/002	002/002	002/002	002/002	001/002	001/002	001/002	002/002	001/001	002/002	001/001	001/001	001/001	001/001	001/002	002/002	001/001	001/002	001/001	002/002	001/002	001/001	002/002	001/002	001/001	001/001	002/002	001/001	001/001	002/002	001/002	002/002	002/002	002/002	002/002	001/001	002/002	002/002	002/002	001/001	002/002	001/001	002/002	001/002	001/001	002/002	001/002	001/002	002/002	001/002	001/002	001/002	001/001	001/001	002/002	002/002	001/002	002/002	002/002	001/002	002/002	104/104	336/352	231/235	294/294	128/148	192/196	238/270	202/270	263/267	197/221	157/157	114/118	116/116	002	002	001
FBM4_020	FBM4	001/001	001/001	001/001	001/001	002/002	001/002	001/001	000/000	001/002	001/001	001/001	002/002	002/002	001/002	002/002	002/002	002/002	002/002	001/002	001/002	001/002	001/001	001/001	001/002	001/001	001/001	001/002	001/001	001/001	002/002	001/002	001/002	002/002	001/001	000/000	002/002	001/002	001/001	001/001	002/002	001/001	001/002	002/002	001/001	001/002	001/001	002/002	002/002	001/002	002/002	001/002	001/002	002/002	001/001	002/002	001/002	001/002	001/001	002/002	001/001	001/002	002/002	001/002	002/002	002/002	001/002	002/002	001/001	002/002	002/002	001/001	001/001	002/002	001/002	002/002	001/001	001/002	002/002	002/002	001/001	002/002	001/002	002/002	001/001	001/001	001/001	002/002	001/001	001/002	002/002	002/002	001/002	001/002	104/104	340/340	231/247	302/310	128/128	200/200	234/266	202/246	000/000	197/205	157/161	114/114	116/128	001	002	002
FBM4_021	FBM4	001/001	001/002	001/002	002/002	002/002	001/002	001/001	001/001	001/001	001/001	001/001	002/002	002/002	001/001	001/002	000/000	002/002	002/002	001/001	001/002	002/002	001/002	001/001	001/002	001/001	001/002	001/002	001/001	001/002	002/002	001/002	001/001	002/002	002/002	002/002	002/002	001/001	002/002	001/002	002/002	001/001	001/002	001/002	001/001	001/001	001/001	001/002	002/002	001/001	002/002	002/002	002/002	001/001	001/001	002/002	002/002	001/001	001/001	002/002	002/002	001/002	002/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	002/002	002/002	001/001	001/002	001/002	002/002	002/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	001/001	001/001	001/001	002/002	002/002	001/001	001/002	001/002	002/002	002/002	104/106	340/360	223/227	214/278	128/128	204/208	242/246	254/282	243/243	213/225	177/181	110/114	116/128	001	002	002
